field_1,Grano,Año,Mes,Origen,Destino,Cantidad,EsFinal,Cantidades
"257",Maiz,"2020","7",Buenos Aires,Rosario N,"0.04097",True,
"258",Maiz,"2015","8",Buenos Aires,Rosario N,"0.00985907",True,
"259",Maiz,"2016","8",Buenos Aires,Rosario N,"0.040991980000000004",True,
"260",Maiz,"2017","8",Buenos Aires,Rosario N,"0.03471228000000001",True,
"261",Maiz,"2018","8",Buenos Aires,Rosario N,"0.04022015999999999",True,
"262",Maiz,"2019","8",Buenos Aires,Rosario N,"0.03826272",True,
"263",Maiz,"2020","8",Buenos Aires,Rosario N,"0.0205",True,
"264",Maiz,"2015","9",Buenos Aires,Rosario N,"0.01744678",True,
"265",Maiz,"2016","9",Buenos Aires,Rosario N,"0.035052980000000004",True,
"266",Maiz,"2017","9",Buenos Aires,Rosario N,"0.027470520000000002",True,
"267",Maiz,"2018","9",Buenos Aires,Rosario N,"0.01508496",True,
"268",Maiz,"2019","9",Buenos Aires,Rosario N,"0.03061124",True,
"269",Maiz,"2015","10",Buenos Aires,Rosario N,"0.009523919999999998",True,
"270",Maiz,"2016","10",Buenos Aires,Rosario N,"0.04033339000000001",True,
"271",Maiz,"2017","10",Buenos Aires,Rosario N,"0.01385996",True,
"272",Maiz,"2018","10",Buenos Aires,Rosario N,"0.012455329999999994",True,
"273",Maiz,"2019","10",Buenos Aires,Rosario N,"0.03139887",True,
"274",Maiz,"2015","11",Buenos Aires,Rosario N,"0.00204125",True,
"275",Maiz,"2016","11",Buenos Aires,Rosario N,"0.014149799999999995",True,
"276",Maiz,"2017","11",Buenos Aires,Rosario N,"0.00914615",True,
"277",Maiz,"2018","11",Buenos Aires,Rosario N,"0.006879459999999999",True,
"278",Maiz,"2019","11",Buenos Aires,Rosario N,"0.02710759000000001",True,
"279",Maiz,"2015","12",Buenos Aires,Rosario N,"0.01546089",True,
"280",Maiz,"2016","12",Buenos Aires,Rosario N,"0.03222653999999999",True,
"281",Maiz,"2017","12",Buenos Aires,Rosario N,"0.01707807",True,
