,Año,Cantidad Transportada (MTn),Cultivo,Destino,Origen,Step From,Step To
374,2019,0.8463284399999997,Trigo,Zona 5,Buenos Aires,0,1
375,2020,0.118474,Trigo,Zona 5,Buenos Aires,0,1
376,2015,0.7108274200000002,Trigo,Zona 6,Buenos Aires,0,1
377,2016,0.66510747,Trigo,Zona 6,Buenos Aires,0,1
378,2017,0.7726670299999998,Trigo,Zona 6,Buenos Aires,0,1
379,2018,0.72248005,Trigo,Zona 6,Buenos Aires,0,1
380,2019,0.7086763599999999,Trigo,Zona 6,Buenos Aires,0,1
381,2020,0.04666422,Trigo,Zona 6,Buenos Aires,0,1
382,2015,0.29201267999999997,Trigo,Zona 7,Buenos Aires,0,1
383,2016,0.29683694,Trigo,Zona 7,Buenos Aires,0,1
384,2017,0.6974560800000001,Trigo,Zona 7,Buenos Aires,0,1
385,2018,0.17971914000000003,Trigo,Zona 7,Buenos Aires,0,1
386,2019,0.21300017,Trigo,Zona 7,Buenos Aires,0,1
387,2020,0.00313,Trigo,Zona 7,Buenos Aires,0,1
388,2015,0.01633628,Trigo,Zona 8,Buenos Aires,0,1
389,2016,0.020998390000000002,Trigo,Zona 8,Buenos Aires,0,1
390,2017,0.02168236,Trigo,Zona 8,Buenos Aires,0,1
391,2018,0.02749837,Trigo,Zona 8,Buenos Aires,0,1
392,2019,0.036493489999999996,Trigo,Zona 8,Buenos Aires,0,1
393,2015,0.060644630000000005,Trigo,Zona 9,Buenos Aires,0,1
394,2016,0.06387839000000001,Trigo,Zona 9,Buenos Aires,0,1
395,2017,0.013563219999999999,Trigo,Zona 9,Buenos Aires,0,1
