,Provincia,Cultivo,LugarEntrega,Mes,Ano,CantTns,EsFinal,EleccionesNac,EleccionesPre,ProdTns,EstresClimatico,MismaProvDestino,ProvAlejada
229,BUENOS AIRES,Maiz,Rosario N,3,2016.0,81608.85,True,False,False,10147679.0,True,False,False
230,BUENOS AIRES,Maiz,Rosario N,3,2017.0,11029.340000000002,True,True,False,12955509.0,True,False,False
231,BUENOS AIRES,Maiz,Rosario N,3,2018.0,23657.000000000004,True,False,False,12770903.0,True,False,False
232,BUENOS AIRES,Maiz,Rosario N,3,2019.0,37318.450000000004,True,True,True,16770895.0,True,False,False
233,BUENOS AIRES,Maiz,Rosario N,3,2020.0,22901.38,True,False,False,,False,False,False
234,BUENOS AIRES,Maiz,Rosario N,4,2015.0,57457.530000000006,True,True,True,8893434.0,True,False,False
235,BUENOS AIRES,Maiz,Rosario N,4,2016.0,51092.53999999999,True,False,False,10147679.0,True,False,False
236,BUENOS AIRES,Maiz,Rosario N,4,2017.0,79539.70000000001,True,True,False,12955509.0,True,False,False
237,BUENOS AIRES,Maiz,Rosario N,4,2018.0,69074.36999999998,True,False,False,12770903.0,True,False,False
238,BUENOS AIRES,Maiz,Rosario N,4,2019.0,85676.32999999999,True,True,True,16770895.0,True,False,False
239,BUENOS AIRES,Maiz,Rosario N,4,2020.0,106207.33,True,False,False,,False,False,False
240,BUENOS AIRES,Maiz,Rosario N,5,2015.0,27421.219999999998,True,True,True,8893434.0,True,False,False
241,BUENOS AIRES,Maiz,Rosario N,5,2016.0,30649.39000000001,True,False,False,10147679.0,True,False,False
242,BUENOS AIRES,Maiz,Rosario N,5,2017.0,64333.62999999999,True,True,False,12955509.0,True,False,False
243,BUENOS AIRES,Maiz,Rosario N,5,2018.0,32501.19999999999,True,False,False,12770903.0,True,False,False
244,BUENOS AIRES,Maiz,Rosario N,5,2019.0,106377.28,True,True,True,16770895.0,True,False,False
245,BUENOS AIRES,Maiz,Rosario N,5,2020.0,96356.37,True,False,False,,False,False,False
246,BUENOS AIRES,Maiz,Rosario N,6,2015.0,117555.13000000002,True,True,True,8893434.0,True,False,False
247,BUENOS AIRES,Maiz,Rosario N,6,2016.0,30266.30999999999,True,False,False,10147679.0,True,False,False
248,BUENOS AIRES,Maiz,Rosario N,6,2017.0,34833.31999999999,True,True,False,12955509.0,True,False,False
249,BUENOS AIRES,Maiz,Rosario N,6,2018.0,17532.210000000003,True,False,False,12770903.0,True,False,False
250,BUENOS AIRES,Maiz,Rosario N,6,2019.0,79103.12000000001,True,True,True,16770895.0,True,False,False
251,BUENOS AIRES,Maiz,Rosario N,6,2020.0,10848.98,True,False,False,,False,False,False
252,BUENOS AIRES,Maiz,Rosario N,7,2015.0,33988.939999999995,True,True,True,8893434.0,True,False,False
253,BUENOS AIRES,Maiz,Rosario N,7,2016.0,43765.91000000002,True,False,False,10147679.0,True,False,False
254,BUENOS AIRES,Maiz,Rosario N,7,2017.0,63367.66000000002,True,True,False,12955509.0,True,False,False
255,BUENOS AIRES,Maiz,Rosario N,7,2018.0,44502.37,True,False,False,12770903.0,True,False,False
256,BUENOS AIRES,Maiz,Rosario N,7,2019.0,62360.93999999999,True,True,True,16770895.0,True,False,False
